Model,LP Local avg,HLP Local avg,LP Global avg,HLP Global avg,LP Local std,HLP Local std,LP Global std,HLP Global std
Pre-BO,5.531589506,6.057232471,4.820946259,5.155371473,4.704133971,4.875349406,4.304518208,4.26473712
1,5.161596425,5.339723201,4.135327199,4.832233128,4.128128266,4.522022041,3.463157557,4.108365618
2,4.874706948,4.509096776,3.724936738,4.322117747,3.996180567,3.946328068,3.507167373,3.557645105
3,4.339590323,3.838734051,3.598201364,3.819856023,3.648629081,3.190989109,3.468523765,3.499972572
4,4.030214783,3.449641328,2.676684505,3.257390022,3.591145799,2.871995723,2.593413979,2.990573813
5,3.766093835,3.021441279,2.288605078,2.897447418,3.666420311,2.559329432,2.38404872,2.534530957
6,3.404548098,2.523779528,1.924869365,2.31999573,3.542496653,1.861441676,1.948029936,1.977975951
7,2.849659815,2.170340136,1.784651075,2.002502853,2.679176591,1.595747856,1.862091674,1.771180683
8,2.587995425,1.793635552,1.677963576,1.815698017,2.459674731,1.14719806,1.768844937,1.628636724
9,2.418517044,1.683568404,1.327499181,1.589307322,2.300691329,1.074242585,1.067208493,1.462724282
10,2.169503557,1.552325773,1.218906716,1.497038731,2.211912287,0.978459324,0.942334547,1.433522567
11,2.069618371,1.477141965,1.13306845,1.431237538,2.219557999,0.966133256,0.841282685,1.425821113
12,1.891506238,1.356145808,1.057985856,1.396013292,2.163931978,0.930968109,0.748185576,1.43099771
13,1.734532134,1.280655439,1.01474373,1.28355403,1.73583691,0.931437431,0.746892345,1.301929542
14,1.615176556,1.198531033,0.960099311,1.261531692,1.664251598,0.890466457,0.654866805,1.304577908
15,1.521041515,1.08062153,0.90347984,1.118854464,1.484026251,0.886575616,0.611638821,0.81771915
16,1.426357941,1.039292055,0.878469759,1.063345912,1.364257018,0.849978228,0.616411554,0.640931293
17,1.232702531,0.99655879,0.863774725,1.041617015,0.979273445,0.811602968,0.619436465,0.635836153
18,1.147769495,0.95947237,0.850711527,1.011689812,0.914499344,0.74334494,0.601401857,0.637381296
19,1.112491283,0.9492707,0.840682254,1.005887999,0.910365543,0.742485827,0.589274865,0.638370523
20,1.087551212,0.874233483,0.828122335,1.0002732,0.901727126,0.614759162,0.573109677,0.638964679
